,node_name,Count_Jan,Predicted_may,predicted_June,jun_cases,May_cases,Reduced_May,Reduced_Jun
28,"Andalusia,Spain",992,1159.007028851132,3036.598415589968,992,992,1159.007028851132,3036.598415589968
29,"Anhui,China",1576,1860.751128286186,4893.167956109811,1576,1576,1843.268227468179,4831.162755966633
30,"Annaba,Algeria",13,15.188600176476529,39.79413246236851,13,13,15.188600176476529,39.79413246236851
31,"Antioquia,Colombia",1,1.1683538597289633,3.0610871124898806,1,1,1.1683538597289633,3.0610871124898806
32,"Antofagasta,Chile",35,40.89238509051374,107.13804893714607,35,35,40.89238509051374,107.13804893714607
33,"Aragon,Spain",305,356.3479272173339,933.6315693094137,305,305,356.3479272173339,933.6315693094137
34,"Araucania,Chile",302,352.8428656381469,924.448307971944,302,302,352.8428656381469,924.448307971944
35,"Ardebil,Iran",52,60.754400705906114,159.17652984947404,52,52,60.754400705906114,159.17652984947404
36,"Arequipa,Peru",2,2.3367077194579267,6.122174224979761,2,2,2.3367077194579267,6.122174224979761
37,"Arica y Parinacota,Chile",6,7.010123158373782,18.36652267493932,6,6,7.010123158373782,18.36652267493932
38,"Arizona,United States",342,402.8145942528633,1058.3742369425036,342,342,399.9007774498607,1048.0400369186352
39,"Arkansas,United States",199,232.50241808606373,609.1563353854874,199,199,232.50241808606373,609.1563353854874
40,"Ashanti Region,Ghana",1,1.1683538597289633,3.0610871124898806,1,1,1.1683538597289633,3.0610871124898806
41,"Asturias,Spain",269,320.7623367182048,846.3973222016965,269,269,314.93470311220204,825.7289221539688
42,"Atacama,Chile",2,2.3367077194579267,6.122174224979761,2,2,2.3367077194579267,6.122174224979761
43,"Attica,Greece",9,10.515184737560672,27.549784012408942,9,9,10.515184737560672,27.549784012408942
44,"Atyrau,Kazakhstan",12,14.020246316747563,36.73304534987864,12,12,14.020246316747563,36.73304534987864
45,"Auckland,New Zealand",10,11.683538597289632,30.61087112489883,10,10,11.683538597289632,30.61087112489883
46,"Auvergne-Rhone-Alpes,France",958,1122.5205718459022,2944.00389823626,958,958,1119.6067550429027,2933.669698212411
47,"Aysen,Chile",2,2.3367077194579267,6.122174224979761,2,2,2.3367077194579267,6.122174224979761
48,"Azores,Portugal",11,12.851892457018605,33.67195823738875,11,11,12.851892457018605,33.67195823738875
49,"Azuay,Ecuador",5,5.841769298644816,15.305435562449414,5,5,5.841769298644816,15.305435562449414
50,"Baden-Wurttemberg,Germany",325,395.902875539698,1052.2655339140083,325,325,381.333791524692,1000.594533794692
51,"Baghdad,Iraq",6,7.010123158373782,18.36652267493932,6,6,7.010123158373782,18.36652267493932
52,"Bahia,Brazil",20,26.604651420136296,72.70418672075716,20,20,23.69083461713501,62.369986696893655
53,"Baja California Sur,Mexico",510,595.8604684617712,1561.1544273698423,510,510,595.8604684617712,1561.1544273698423
54,"Baja California,Mexico",1426,1669.3101781990567,4376.592666881523,1426,1426,1666.3963613960573,4366.258466857676
55,"Bajia,Brazil",1,1.1683538597289633,3.0610871124898806,1,1,1.1683538597289633,3.0610871124898806
56,"Baleares,Spain",9,10.515184737560672,27.549784012408942,9,9,10.515184737560672,27.549784012408942
57,"Balearic Islands,Spain",206,240.68089510416647,630.5839451729166,206,206,240.68089510416647,630.5839451729166
58,"Bangkok Metropolis,Thailand",8,22.297127780059665,70.41847478375631,8,8,10.641860568054478,29.08167468830272
